ISBN,title,author,genre,language,url,description
9781784872601.0,Death,Julian Barnes,Fiction,English,https://zangakbookstore.am/en/death,"When it comes to death, is there ever a best case scenario? In this disarmingly witty book, Julian Barnes confronts our unending obsession with the end. He reflects on what it means to miss God, whether death can be good for our careers and why we eventually turn into our parents. Barnes is the perfect guide to the weirdness of the only thing that binds us all.

Selected from the book Nothing to be Frightened Of by Julian Barnes

VINTAGE MINIS: GREAT MINDS. BIG IDEAS. LITTLE BOOKS.

A series of short books by the world's greatest writers on the experiences that make us human

Also in the Vintage Minis series:
Calm by Tim Parks
Drinking by John Cheever
Babies by Anne Enright
Psychedelics by Aldous Huxley"
9781784872649.0,Drinking,John Cheever,Fiction,English,https://zangakbookstore.am/en/drinking-1,"What's the worst another drink could do? John Cheever pours out our most sociable of vices, and hands it to us in a highball. From the calculating teenager who raids her parents' liquor cabinet, only to drown her sorrows in it, to the suburban swimmer withering away with every plunge he takes, these are stories suffused with beauty, sadness, and the gathering storm of a bender well-done. Seen through the gin-lacquered looking glass of Cheever's writing, your next drink may have you reaching for a lime and soda instead.

Selected from the book Collected Stories by John Cheever"
9781784872663.0,Fatherhood,Karl Ove Knausgaard,Fiction,English,https://zangakbookstore.am/en/fatherhood,"Karl Ove Knausgaard explores the day to day realities of fatherhood in the ultimate literary gift for dads.

How to be a good father?

Children's birthday parties, unsuccessful family holidays, humiliating antenatal music classes: the trials of parenthood are all found in Knausgaard's compelling and honest account of family life. Contrasting moments of enormous love and tenderness towards his children with the boring struggles of domesticity, this is one father's personal experience, and somehow, every father's too.

Selected from the book A Man in Love by Karl Ove Knausgaard

VINTAGE MINIS: GREAT MINDS. BIG IDEAS. LITTLE BOOKS.

A series of short books by the world's greatest writers on the experiences that make us human

Also in the Vintage Minis series:
Desire by Haruki Murakami
Babies by Anne Enright
Eating by Nigella Lawson
Language by Xiaolu Guo"
9781784872687.0,Home,Salman Rushdie,Fiction,English,https://zangakbookstore.am/en/home,"Salman Rushdie, a self-described 'emigrant from one place and a newcomer in two', explores the true meaning of home. Writing with insight, passion and humour, he looks at what it means to belong, whether roots are real and homelands imaginary, what it is like to reconfigure your past from fragments of memory and what happens when East meets West.

Selected from the books Shame, Imaginary Homelands and East, West by Salman Rushdie."
9781784872694.0,Jealousy,Marcel Proust,Fiction,English,https://zangakbookstore.am/en/jealousy-1,"Can we truly know the one we love? In this painfully candid book Marcel Proust looks straight into the green eye of every lover’s jealous struggle. He broods on why we are driven to try possess one another, how jealousy can outlive death, and whether we can ever reclaim those careless days of first love. There is no greater chronicler of jealousy’s darkest fears and destructive suspicions than Proust.

Selected from the book In Search of Lost Time by Marcel Proust

VINTAGE MINIS: GREAT MINDS. BIG IDEAS. LITTLE BOOKS.

A series of short books by the world’s greatest writers on the experiences that make us human

Also in the Vintage Minis series:
Desire by Haruki Murakami
Eating by Nigella Lawson
Home by Salman Rushdie
Babies by Anne Enright"
9781784872700.0,Language,Xiaolu Guo,Fiction,English,https://zangakbookstore.am/en/language,"Have you ever tried to learn another language? When Zhuang first arrives in London from China she feels like she is among an alien species. The city is disorientating, the people unfriendly, the language a muddle of personal pronouns and moody verbs. But with increasing fluency in English surviving turns to living. And they say that the best way to learn a language is to fall in love with a native speaker...

Selected from the book A Concise Chinese-English Dictionary for Lovers by Xiaolu Guo."
9781784872724.0,Love,Jeanette Winterson,Fiction,English,https://zangakbookstore.am/en/love,"How do we love? With romance. With work. Through heartbreak. Throughout a lifetime. As a means, but not an end. Love in all its forms has been an abiding theme of Jeanette Winterson's writing. Here are selections from her books about that impossible, essential force, stories and truths that search for the mythical creature we call Love.

Selected from the books of Jeanette Winterson."
9781784872731.0,Motherhood,Helen Simpson,Fiction,English,https://zangakbookstore.am/en/motherhood-1,"Enjoy Helen Simpson's sharply funny, humane take on the everyday joys and struggles of motherhood in this perfect Mother's Day gift.

Welcome to motherhood - a land of aching fatigue, constant self-sacrifice and thankless servitude, a land of bottomless devotion, small hands and feet like warm pink roses, and velvet kisses. Here is a land where men and women, once carefree and engrossed in work and sex, now try to solve age-old arguments and search fruitlessly for another hour in the day. Perhaps you know this land well, or perhaps you're entering it for the first time - either way, you need these honest funny humane stories from an expert guide.

Selected from Helen Simpson's short story collections Dear George, Hey Yeah Right Get a Life and Constitutional"
9781784872755.0,Sisters: Vintage Minis,Louisa May Alcott,Fiction,English,https://zangakbookstore.am/en/sisters-vintage-minis-1,"Your sister might be the kindred soul who knows you best, or the most alien being in your household; she might enrage you or inspire you; she might be your fiercest competitor or closest co-conspirator, but she'll always share with you a totally unique bond. Meg, Jo, Beth and Amy are four of the most famous sisters in literature, and these stories of the joys and heartaches they share are a touching celebration of the special ties of sisterhood.
Selected from the books Little Women and Good Wives by Louisa May Alcott.

VINTAGE MINIS: GREAT MINDS. BIG IDEAS. LITTLE BOOKS.

A series of short books by the world's greatest writers on the experiences that make us human."
9781784872786.0,Work,Joseph Heller,Fiction,English,https://zangakbookstore.am/en/work-1,"Bob Slocum is anxious, bored and fearful of his job. So why is it he wants nothing more than the chance to speak at the next company convention? In this darkly satirical book, Joseph Heller takes us for a turn on the maddening hamster wheel of work. Heller's workplace is a cradle of paranoia, bravado and nauseating banter, forever shadowed by that perennial question, who's really running the show here? In Heller's hands, our daily grind has never seemed so absurd."
9781784872816.0,Selected Stories,Edgar Allan Poe,Fiction,English,https://zangakbookstore.am/en/selected-stories,Edgar Allan Poe was a writer of uncommon talent; in The Murders in the Rue Morgue he created the genre of detective fiction while his genius for finding the strangeness lurking within us all has been an influence on everyone from Freud to Hollywood. This complete collection of all his short stories and novellas contains well-known tales 'The Pit and the Pendulum' and 'The Tell-Tale Heart' alongside hidden gems that both unsettle and enthrall the reader.
9781784872847.0,Tender is the Night,Francis Scott Fitzgerald,Fiction,English,https://zangakbookstore.am/en/tender-is-the-night-3,"It is the French Riviera in the 1920s. Nicole and Dick Diver are a wealthy, elegant, magnetic couple. A coterie of admirers are drawn to them, none more so than the blooming young starlet Rosemary Hoyt. When Rosemary falls for Dick, the Diver's calculated perfection begins to crack. As dark truths emerge, Fitzgerald shows both the disintegration of a marriage and the failure of idealism. Tender is the Night is as sad as it is beautiful."
9781784872885.0,Persuasion,Jane Austen,Fiction,English,https://zangakbookstore.am/en/persuasion-2,"Eight years ago Anne Elliot bowed to pressure from her family and made the decision not to marry the man she loved, Captain Wentworth. Now circumstances have conspired to bring him back into her social circle and Anne finds her old feelings for him reignited. However, when they meet again Wentworth behaves as if they are strangers and seems more interested in her friend Louisa. In this, her final novel, Jane Austen tells the story of a love that endures the tests of time and society with humour, insight and tenderness."
